Algorithm,Baseline,originalTitle,originalCategory,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
bloomfilter,RandomBaseline03,Mailroom,Society_50,0.32,0.22,0.26,0.2,0.24,0.32,0.16,0.26,0.32,0.24,0.2,0.2,0.22,0.26,0.18,0.28,0.34,0.26,0.26,0.24,0.18,0.2,0.24,0.2,0.22,0.22,0.22
bloomfilter,RandomBaseline03,Making Sense of Abstinence,Society_50,0.4,0.3,0.28,0.3,0.3,0.26,0.2,0.26,0.34,0.36,0.22,0.28,0.36,0.34,0.24,0.28,0.34,0.26,0.32,0.38,0.3,0.34,0.4,0.24,0.16,0.3,0.32
bloomfilter,RandomBaseline03,Margaret Polson Murray,Society_50,0.04,0.04,0.08,0.06,0.06,0.08,0.04,0.06,0.1,0.02,0.06,0.04,0.02,0.1,0.04,0.04,0.06,0.06,0.04,0.06,0.06,0.08,0.04,0.04,0.08,0.04,0.04
bloomfilter,RandomBaseline03,Mediology,Society_50,0.86,0.72,0.76,0.82,0.7,0.84,0.46,0.7,0.78,0.88,0.54,0.7,0.7,0.88,0.7,0.84,0.82,0.7,0.78,0.88,0.64,0.8,0.84,0.66,0.58,0.76,0.74
bloomfilter,RandomBaseline03,Outline of communication,Society_50,0.12,0.12,0.12,0.1,0.12,0.1,0.04,0.08,0.14,0.08,0.06,0.08,0.12,0.1,0.1,0.12,0.1,0.1,0.12,0.1,0.08,0.1,0.1,0.08,0.1,0.08,0.1
bloomfilter,RandomBaseline03,Plug &amp; Pray,Society_50,0.54,0.38,0.48,0.52,0.46,0.52,0.26,0.32,0.52,0.54,0.4,0.44,0.46,0.54,0.44,0.42,0.48,0.44,0.4,0.42,0.52,0.4,0.48,0.3,0.38,0.42,0.42
bloomfilter,RandomBaseline03,Problematic integration theory,Society_50,0.76,0.78,0.86,0.8,0.7,0.7,0.22,0.78,0.86,0.84,0.44,0.84,0.76,0.8,0.8,0.84,0.82,0.7,0.82,0.82,0.8,0.74,0.8,0.66,0.7,0.72,0.78
bloomfilter,RandomBaseline03,Process Thinking,Society_50,0.62,0.56,0.54,0.54,0.52,0.58,0.42,0.54,0.62,0.6,0.34,0.56,0.58,0.6,0.52,0.54,0.58,0.54,0.62,0.72,0.44,0.54,0.66,0.46,0.5,0.48,0.44
bloomfilter,RandomBaseline03,Project Hieroglyph,Society_50,0.28,0.26,0.22,0.28,0.22,0.28,0.14,0.22,0.34,0.28,0.2,0.28,0.28,0.3,0.28,0.24,0.26,0.18,0.18,0.22,0.26,0.26,0.24,0.24,0.14,0.26,0.26
bloomfilter,RandomBaseline03,Robert D. Putnam,Society_50,0.84,0.68,0.68,0.72,0.66,0.74,0.4,0.7,0.86,0.7,0.48,0.6,0.62,0.72,0.52,0.78,0.78,0.66,0.72,0.72,0.6,0.76,0.8,0.58,0.62,0.64,0.62
bloomfilter,RandomBaseline03,September 11 National Day of Service,Society_50,0.8,0.66,0.6,0.68,0.62,0.66,0.42,0.6,0.76,0.7,0.56,0.6,0.58,0.64,0.46,0.58,0.76,0.72,0.7,0.78,0.46,0.64,0.84,0.46,0.64,0.74,0.6
bloomfilter,RandomBaseline03,Sex toy party,Society_50,0.4,0.3,0.38,0.38,0.38,0.4,0.32,0.32,0.44,0.4,0.3,0.3,0.26,0.38,0.3,0.32,0.36,0.28,0.4,0.36,0.2,0.36,0.4,0.26,0.32,0.36,0.24
bloomfilter,RandomBaseline03,Sexual harassment in the military,Society_50,0.72,0.56,0.58,0.62,0.56,0.54,0.4,0.58,0.78,0.66,0.5,0.58,0.56,0.72,0.58,0.74,0.72,0.72,0.74,0.62,0.5,0.7,0.68,0.48,0.58,0.68,0.54
bloomfilter,RandomBaseline03,Social history,Society_50,0.96,0.78,0.8,0.9,0.76,0.78,0.32,0.8,0.92,0.84,0.64,0.6,0.78,0.84,0.66,0.86,0.86,0.82,0.86,0.84,0.72,0.86,0.9,0.68,0.76,0.82,0.82
bloomfilter,RandomBaseline03,Social information processing (theory),Society_50,0.78,0.76,0.74,0.82,0.74,0.78,0.3,0.72,0.9,0.78,0.4,0.74,0.8,0.78,0.54,0.7,0.8,0.74,0.76,0.84,0.62,0.8,0.8,0.62,0.56,0.66,0.64
bloomfilter,RandomBaseline03,Social innovation,Society_50,0.86,0.76,0.76,0.86,0.84,0.78,0.28,0.9,0.94,0.72,0.6,0.76,0.74,0.76,0.66,0.8,0.9,0.76,0.9,0.92,0.54,0.86,0.96,0.62,0.78,0.82,0.76
bloomfilter,RandomBaseline03,Social photography,Society_50,0.4,0.44,0.36,0.36,0.46,0.48,0.26,0.34,0.6,0.4,0.24,0.36,0.4,0.42,0.24,0.34,0.46,0.42,0.4,0.44,0.26,0.38,0.44,0.3,0.32,0.36,0.46
bloomfilter,RandomBaseline03,Social translucence,Society_50,0.84,0.82,0.76,0.76,0.76,0.7,0.4,0.76,0.82,0.8,0.52,0.74,0.82,0.78,0.66,0.74,0.78,0.64,0.72,0.8,0.6,0.78,0.76,0.68,0.6,0.66,0.76
bloomfilter,RandomBaseline03,Sociology of Revolution (book),Society_50,0.7,0.6,0.68,0.74,0.6,0.54,0.24,0.5,0.66,0.58,0.56,0.6,0.56,0.7,0.58,0.64,0.78,0.58,0.68,0.6,0.6,0.68,0.68,0.5,0.56,0.68,0.48
bloomfilter,RandomBaseline03,Thematic interpretation,Society_50,0.72,0.7,0.7,0.7,0.62,0.52,0.3,0.58,0.7,0.62,0.52,0.54,0.66,0.62,0.52,0.62,0.7,0.68,0.68,0.66,0.54,0.68,0.74,0.56,0.42,0.56,0.56
bloomfilter,RandomBaseline03,Torsten Rudenschöld,Society_50,0.02,0.02,0.02,0.04,0.04,0.04,0.0,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.02,0.02,0.04,0.02,0.04,0.04,0.0,0.02,0.04,0.0,0.04,0.04,0.0
bloomfilter,RandomBaseline03,Whisper network,Society_50,0.62,0.52,0.44,0.6,0.54,0.44,0.32,0.58,0.68,0.54,0.4,0.48,0.56,0.7,0.5,0.56,0.7,0.6,0.66,0.6,0.38,0.6,0.62,0.38,0.48,0.6,0.48
bloomfilter,RandomBaseline03,Word of mouth,Society_50,0.78,0.62,0.56,0.64,0.52,0.64,0.3,0.5,0.72,0.6,0.5,0.58,0.54,0.66,0.6,0.56,0.62,0.68,0.56,0.66,0.62,0.66,0.68,0.46,0.56,0.58,0.52
bloomfilter,RandomBaseline03,World news,Society_50,0.62,0.5,0.66,0.68,0.58,0.68,0.36,0.52,0.74,0.58,0.5,0.6,0.54,0.64,0.5,0.62,0.72,0.68,0.58,0.54,0.48,0.62,0.7,0.38,0.5,0.68,0.58
bloomfilter,RandomBaseline03,Youth Public Chamber of Russia,Society_50,0.6,0.48,0.52,0.68,0.62,0.7,0.32,0.46,0.74,0.58,0.66,0.54,0.58,0.6,0.5,0.68,0.86,0.52,0.74,0.68,0.34,0.68,0.82,0.38,0.6,0.7,0.52
bloomfilter,RandomBaseline03,0010x0010,Life_50,0.3,0.24,0.26,0.36,0.3,0.36,0.36,0.2,0.32,0.34,0.18,0.28,0.3,0.36,0.26,0.24,0.38,0.34,0.3,0.38,0.18,0.3,0.26,0.18,0.32,0.28,0.3
bloomfilter,RandomBaseline03,30 Roc,Life_50,0.14,0.08,0.1,0.14,0.06,0.16,0.2,0.08,0.16,0.1,0.06,0.1,0.06,0.16,0.08,0.08,0.1,0.12,0.08,0.1,0.14,0.12,0.12,0.04,0.1,0.12,0.1
bloomfilter,RandomBaseline03,3D Virtual Creature Evolution,Life_50,0.6,0.68,0.64,0.68,0.62,0.62,0.38,0.54,0.66,0.7,0.38,0.52,0.6,0.66,0.42,0.54,0.64,0.62,0.7,0.68,0.36,0.58,0.62,0.5,0.6,0.5,0.64
bloomfilter,RandomBaseline03,6ix (record producer),Life_50,0.28,0.22,0.26,0.3,0.24,0.28,0.34,0.18,0.36,0.3,0.24,0.22,0.24,0.28,0.24,0.26,0.28,0.3,0.26,0.32,0.24,0.26,0.26,0.18,0.2,0.22,0.18
bloomfilter,RandomBaseline03,A Dialogue on Personal Identity and Immortality,Life_50,0.18,0.16,0.14,0.18,0.14,0.18,0.08,0.14,0.18,0.18,0.1,0.18,0.16,0.18,0.14,0.22,0.2,0.16,0.14,0.2,0.14,0.2,0.18,0.14,0.12,0.2,0.14
bloomfilter,RandomBaseline03,Aakash Gupta,Life_50,0.7,0.64,0.6,0.6,0.58,0.5,0.28,0.62,0.7,0.74,0.32,0.62,0.5,0.6,0.46,0.68,0.66,0.62,0.64,0.66,0.56,0.64,0.68,0.56,0.52,0.6,0.64
bloomfilter,RandomBaseline03,Agent-based model,Life_50,0.92,0.94,0.92,0.86,0.84,0.7,0.22,0.84,0.96,0.88,0.52,0.8,0.88,0.88,0.68,0.82,0.86,0.82,0.88,0.84,0.82,0.9,0.88,0.78,0.72,0.78,0.9
bloomfilter,RandomBaseline03,Anne Aallonen,Life_50,0.02,0.04,0.02,0.08,0.06,0.06,0.04,0.08,0.08,0.08,0.0,0.04,0.06,0.08,0.02,0.02,0.02,0.04,0.06,0.06,0.0,0.02,0.14,0.0,0.1,0.02,0.02
bloomfilter,RandomBaseline03,Antonio Aakeel,Life_50,0.42,0.3,0.28,0.36,0.36,0.58,0.56,0.32,0.52,0.38,0.26,0.26,0.26,0.38,0.34,0.38,0.44,0.4,0.4,0.38,0.28,0.3,0.44,0.18,0.34,0.42,0.28
bloomfilter,RandomBaseline03,Avida,Life_50,0.54,0.54,0.6,0.5,0.54,0.44,0.26,0.54,0.54,0.48,0.32,0.52,0.48,0.48,0.54,0.48,0.56,0.46,0.56,0.5,0.42,0.54,0.5,0.44,0.36,0.36,0.54
bloomfilter,RandomBaseline03,Baopuzi,Life_50,0.68,0.62,0.44,0.64,0.48,0.72,0.38,0.46,0.58,0.66,0.56,0.5,0.44,0.74,0.52,0.62,0.68,0.54,0.46,0.46,0.5,0.56,0.52,0.48,0.34,0.5,0.5
bloomfilter,RandomBaseline03,Birthday effect,Life_50,0.7,0.62,0.58,0.66,0.62,0.5,0.46,0.52,0.68,0.76,0.38,0.5,0.48,0.6,0.42,0.62,0.62,0.58,0.74,0.7,0.48,0.62,0.74,0.36,0.54,0.62,0.44
bloomfilter,RandomBaseline03,Blue Zone,Life_50,0.44,0.46,0.4,0.46,0.48,0.38,0.24,0.38,0.5,0.48,0.34,0.36,0.44,0.48,0.36,0.5,0.44,0.46,0.44,0.44,0.34,0.42,0.44,0.4,0.4,0.44,0.4
bloomfilter,RandomBaseline03,DJ A-Tron,Life_50,0.42,0.34,0.36,0.44,0.48,0.48,0.54,0.32,0.54,0.46,0.28,0.42,0.4,0.42,0.32,0.36,0.48,0.42,0.28,0.42,0.26,0.46,0.44,0.26,0.48,0.42,0.34
bloomfilter,RandomBaseline03,Elisa Aaltola,Life_50,0.14,0.14,0.16,0.16,0.1,0.16,0.04,0.1,0.12,0.16,0.08,0.12,0.12,0.12,0.1,0.14,0.16,0.16,0.14,0.16,0.16,0.2,0.18,0.12,0.06,0.12,0.12
bloomfilter,RandomBaseline03,Enantiopure drug,Life_50,0.72,0.78,0.58,0.74,0.7,0.62,0.32,0.68,0.78,0.72,0.44,0.68,0.68,0.68,0.58,0.68,0.86,0.72,0.8,0.74,0.58,0.64,0.74,0.54,0.54,0.58,0.66
bloomfilter,RandomBaseline03,Essentialism,Life_50,0.88,0.72,0.88,0.82,0.62,0.72,0.4,0.5,0.8,0.86,0.54,0.7,0.68,0.84,0.64,0.78,0.7,0.66,0.7,0.68,0.82,0.74,0.68,0.6,0.66,0.58,0.54
bloomfilter,RandomBaseline03,Frederik Aalestrup,Life_50,0.04,0.06,0.04,0.04,0.04,0.04,0.06,0.02,0.06,0.06,0.04,0.02,0.0,0.04,0.04,0.04,0.04,0.02,0.04,0.0,0.02,0.04,0.06,0.0,0.06,0.04,0.0
bloomfilter,RandomBaseline03,Hans Anton Aalien,Life_50,0.1,0.12,0.1,0.16,0.12,0.08,0.1,0.04,0.1,0.16,0.06,0.1,0.1,0.1,0.14,0.14,0.08,0.14,0.08,0.08,0.06,0.06,0.1,0.06,0.12,0.08,0.12
bloomfilter,RandomBaseline03,History of artificial life,Life_50,0.78,0.76,0.82,0.76,0.74,0.62,0.3,0.66,0.78,0.82,0.48,0.72,0.62,0.8,0.64,0.7,0.74,0.68,0.7,0.72,0.72,0.74,0.76,0.64,0.58,0.58,0.72
bloomfilter,RandomBaseline03,History of in vitro fertilisation,Life_50,0.52,0.56,0.58,0.52,0.56,0.64,0.36,0.5,0.66,0.58,0.5,0.62,0.42,0.54,0.38,0.54,0.58,0.5,0.62,0.6,0.46,0.54,0.6,0.48,0.4,0.5,0.5
bloomfilter,RandomBaseline03,Immortality,Life_50,0.9,0.84,0.88,0.88,0.76,0.8,0.28,0.64,0.86,0.94,0.6,0.84,0.7,0.9,0.66,0.76,0.88,0.68,0.78,0.7,0.76,0.86,0.82,0.7,0.6,0.76,0.66
bloomfilter,RandomBaseline03,Jaak Aab,Life_50,0.1,0.06,0.1,0.18,0.1,0.14,0.08,0.08,0.2,0.08,0.14,0.06,0.1,0.16,0.06,0.12,0.18,0.14,0.1,0.12,0.04,0.16,0.22,0.06,0.08,0.2,0.06
bloomfilter,RandomBaseline03,Jani Aaltonen,Life_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomfilter,RandomBaseline03,Jennifer Aaker,Life_50,0.62,0.48,0.58,0.64,0.62,0.62,0.4,0.6,0.8,0.56,0.34,0.46,0.54,0.56,0.52,0.7,0.64,0.6,0.7,0.66,0.52,0.58,0.7,0.48,0.5,0.52,0.54
bloomfilter,RandomBaseline03,Juhani Aaltonen,Life_50,0.28,0.26,0.26,0.26,0.24,0.24,0.24,0.2,0.3,0.26,0.18,0.28,0.18,0.32,0.24,0.24,0.22,0.32,0.22,0.36,0.2,0.24,0.36,0.16,0.26,0.28,0.24
bloomfilter,RandomBaseline03,Kristian Aadnevik,Life_50,0.28,0.22,0.2,0.24,0.22,0.34,0.38,0.16,0.36,0.26,0.2,0.22,0.18,0.28,0.2,0.32,0.24,0.3,0.24,0.26,0.24,0.26,0.24,0.14,0.28,0.24,0.24
bloomfilter,RandomBaseline03,Last words,Life_50,0.22,0.16,0.16,0.14,0.14,0.18,0.08,0.14,0.16,0.14,0.16,0.14,0.1,0.16,0.18,0.16,0.18,0.16,0.14,0.14,0.16,0.16,0.16,0.14,0.1,0.14,0.1
bloomfilter,RandomBaseline03,Lee Aaker,Life_50,0.42,0.32,0.42,0.48,0.34,0.6,0.5,0.38,0.6,0.48,0.36,0.28,0.32,0.56,0.44,0.4,0.56,0.46,0.34,0.34,0.24,0.46,0.38,0.22,0.4,0.38,0.32
bloomfilter,RandomBaseline03,Les Dialogues d’Evhémère,Life_50,0.76,0.54,0.64,0.66,0.46,0.58,0.34,0.38,0.7,0.58,0.44,0.5,0.56,0.72,0.56,0.54,0.64,0.56,0.46,0.46,0.58,0.56,0.58,0.46,0.4,0.54,0.5
bloomfilter,RandomBaseline03,Metachirality,Life_50,0.22,0.26,0.26,0.26,0.22,0.24,0.1,0.18,0.24,0.26,0.18,0.2,0.22,0.26,0.18,0.22,0.22,0.24,0.18,0.22,0.24,0.24,0.2,0.22,0.22,0.2,0.18
bloomfilter,RandomBaseline03,Mika Aaltonen,Life_50,0.1,0.14,0.1,0.12,0.12,0.12,0.16,0.1,0.14,0.12,0.08,0.1,0.14,0.12,0.08,0.06,0.12,0.18,0.12,0.14,0.08,0.12,0.12,0.02,0.14,0.12,0.08
bloomfilter,RandomBaseline03,Mikael Aaltonen,Life_50,0.0,0.04,0.0,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.0,0.04,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.06,0.0,0.0
bloomfilter,RandomBaseline03,Nanobacterium,Life_50,0.56,0.78,0.6,0.64,0.56,0.58,0.28,0.44,0.6,0.68,0.46,0.7,0.52,0.68,0.5,0.64,0.64,0.6,0.56,0.5,0.48,0.6,0.62,0.46,0.5,0.52,0.62
bloomfilter,RandomBaseline03,Negligible senescence,Life_50,0.64,0.8,0.7,0.7,0.62,0.66,0.32,0.48,0.68,0.78,0.5,0.64,0.56,0.72,0.48,0.66,0.64,0.56,0.6,0.54,0.5,0.62,0.66,0.46,0.5,0.52,0.62
bloomfilter,RandomBaseline03,OpenWorm,Life_50,0.56,0.76,0.72,0.62,0.58,0.56,0.26,0.56,0.64,0.72,0.34,0.7,0.58,0.74,0.42,0.56,0.62,0.56,0.68,0.66,0.44,0.58,0.6,0.46,0.52,0.52,0.54
bloomfilter,RandomBaseline03,Philosophy of happiness,Life_50,0.68,0.66,0.74,0.7,0.58,0.66,0.32,0.56,0.7,0.8,0.56,0.64,0.62,0.74,0.58,0.64,0.72,0.58,0.6,0.64,0.62,0.68,0.7,0.54,0.48,0.68,0.42
bloomfilter,RandomBaseline03,Precambrian rabbit,Life_50,0.6,0.64,0.62,0.62,0.62,0.58,0.32,0.5,0.64,0.68,0.44,0.54,0.52,0.72,0.58,0.7,0.7,0.64,0.52,0.58,0.64,0.58,0.6,0.54,0.42,0.46,0.6
bloomfilter,RandomBaseline03,Rejuvenation Research,Life_50,0.16,0.12,0.16,0.18,0.18,0.16,0.04,0.16,0.16,0.12,0.08,0.16,0.16,0.2,0.14,0.18,0.18,0.16,0.18,0.12,0.12,0.14,0.16,0.14,0.08,0.1,0.14
bloomfilter,RandomBaseline03,Shou (character),Life_50,0.52,0.5,0.46,0.52,0.4,0.6,0.34,0.34,0.52,0.68,0.44,0.48,0.42,0.68,0.46,0.46,0.54,0.46,0.36,0.36,0.38,0.46,0.44,0.36,0.38,0.52,0.42
bloomfilter,RandomBaseline03,Sky burial (disambiguation),Life_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomfilter,RandomBaseline03,Sugarscape,Life_50,0.62,0.66,0.6,0.68,0.58,0.58,0.28,0.64,0.74,0.64,0.32,0.6,0.58,0.54,0.5,0.5,0.66,0.54,0.74,0.68,0.42,0.68,0.68,0.5,0.52,0.64,0.62
bloomfilter,RandomBaseline03,Tierra (computer simulation),Life_50,0.72,0.72,0.72,0.66,0.66,0.52,0.32,0.66,0.68,0.7,0.4,0.58,0.64,0.68,0.5,0.62,0.62,0.58,0.56,0.66,0.58,0.64,0.68,0.58,0.52,0.5,0.72
bloomfilter,RandomBaseline03,Torstein Aagaard-Nilsen,Life_50,0.34,0.34,0.24,0.34,0.24,0.44,0.34,0.22,0.32,0.26,0.2,0.32,0.24,0.34,0.26,0.28,0.34,0.36,0.22,0.36,0.18,0.26,0.34,0.16,0.3,0.28,0.18
bloomfilter,RandomBaseline03,Unnatural Selection (video game),Life_50,0.28,0.32,0.26,0.26,0.3,0.24,0.18,0.28,0.36,0.3,0.18,0.34,0.16,0.28,0.28,0.28,0.32,0.22,0.28,0.28,0.26,0.28,0.3,0.24,0.32,0.22,0.22
bloomfilter,RandomBaseline03,Veikko Aaltonen,Life_50,0.14,0.08,0.12,0.18,0.14,0.16,0.18,0.1,0.16,0.16,0.16,0.1,0.14,0.16,0.18,0.14,0.14,0.14,0.12,0.12,0.1,0.1,0.12,0.1,0.12,0.12,0.12
bloomfilter,RandomBaseline03,Whangdoodle,Life_50,0.38,0.42,0.3,0.4,0.38,0.52,0.38,0.26,0.38,0.38,0.3,0.3,0.34,0.44,0.26,0.36,0.38,0.38,0.36,0.34,0.32,0.34,0.34,0.3,0.34,0.36,0.36
bloomfilter,RandomBaseline03,Aayaase,People_50,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0
bloomfilter,RandomBaseline03,Amazons,People_50,0.8,0.56,0.46,0.78,0.66,0.66,0.5,0.4,0.7,0.66,0.66,0.56,0.48,0.74,0.64,0.68,0.76,0.62,0.58,0.54,0.44,0.7,0.6,0.42,0.7,0.72,0.62
bloomfilter,RandomBaseline03,Biographical criticism,People_50,0.76,0.72,0.7,0.76,0.58,0.66,0.4,0.56,0.74,0.68,0.42,0.52,0.66,0.76,0.6,0.66,0.62,0.56,0.62,0.72,0.68,0.62,0.64,0.54,0.46,0.56,0.6
bloomfilter,RandomBaseline03,Biographical film,People_50,0.68,0.52,0.38,0.54,0.46,0.66,0.5,0.34,0.6,0.5,0.42,0.38,0.52,0.7,0.52,0.54,0.54,0.48,0.46,0.42,0.4,0.48,0.52,0.4,0.44,0.42,0.3
bloomfilter,RandomBaseline03,Brit Pack (actors),People_50,0.32,0.3,0.26,0.26,0.3,0.42,0.42,0.24,0.36,0.3,0.3,0.22,0.24,0.34,0.28,0.3,0.32,0.44,0.28,0.26,0.2,0.32,0.28,0.18,0.3,0.38,0.22
bloomfilter,RandomBaseline03,Burgher arms,People_50,0.58,0.44,0.44,0.58,0.5,0.48,0.3,0.4,0.6,0.52,0.54,0.36,0.4,0.6,0.46,0.48,0.68,0.42,0.58,0.52,0.38,0.5,0.56,0.4,0.34,0.64,0.48
bloomfilter,RandomBaseline03,Character arc,People_50,0.62,0.62,0.58,0.52,0.44,0.58,0.3,0.4,0.62,0.6,0.32,0.58,0.58,0.58,0.48,0.56,0.44,0.46,0.46,0.56,0.52,0.54,0.46,0.36,0.38,0.42,0.42
bloomfilter,RandomBaseline03,Character flaw,People_50,0.5,0.46,0.48,0.48,0.42,0.52,0.34,0.32,0.62,0.54,0.24,0.38,0.42,0.56,0.4,0.42,0.54,0.5,0.44,0.38,0.34,0.4,0.42,0.32,0.28,0.4,0.28
bloomfilter,RandomBaseline03,Coat of arms of Pope Francis,People_50,0.48,0.42,0.36,0.36,0.48,0.38,0.3,0.28,0.44,0.4,0.36,0.4,0.4,0.46,0.36,0.42,0.56,0.42,0.4,0.32,0.3,0.38,0.36,0.3,0.36,0.5,0.34
bloomfilter,RandomBaseline03,Coat of arms of the King of Spain,People_50,0.5,0.48,0.38,0.48,0.42,0.4,0.22,0.3,0.42,0.36,0.4,0.4,0.36,0.44,0.34,0.46,0.58,0.44,0.4,0.4,0.3,0.4,0.44,0.38,0.4,0.5,0.4
bloomfilter,RandomBaseline03,Coat of arms of the Prince of Spain,People_50,0.22,0.3,0.16,0.2,0.2,0.18,0.08,0.12,0.14,0.16,0.14,0.18,0.14,0.2,0.14,0.18,0.26,0.18,0.14,0.2,0.14,0.14,0.2,0.16,0.16,0.22,0.18
bloomfilter,RandomBaseline03,Eight Masters of Nanjing,People_50,0.14,0.14,0.1,0.16,0.1,0.18,0.14,0.14,0.18,0.12,0.12,0.1,0.12,0.14,0.1,0.14,0.14,0.12,0.12,0.12,0.08,0.14,0.12,0.12,0.14,0.12,0.1
bloomfilter,RandomBaseline03,Facebook real-name policy controversy,People_50,0.82,0.6,0.62,0.74,0.74,0.72,0.4,0.66,0.84,0.68,0.56,0.64,0.72,0.72,0.7,0.74,0.8,0.72,0.76,0.8,0.52,0.72,0.82,0.5,0.68,0.86,0.64
bloomfilter,RandomBaseline03,Ferdinand Ashmall,People_50,0.12,0.08,0.08,0.1,0.08,0.08,0.04,0.06,0.12,0.08,0.1,0.1,0.06,0.12,0.08,0.1,0.12,0.08,0.1,0.08,0.08,0.12,0.1,0.08,0.06,0.12,0.08
bloomfilter,RandomBaseline03,Flags of the Dutch royal family,People_50,0.66,0.46,0.38,0.58,0.44,0.48,0.46,0.32,0.5,0.44,0.4,0.3,0.38,0.54,0.44,0.52,0.6,0.46,0.44,0.44,0.36,0.44,0.5,0.38,0.34,0.6,0.44
bloomfilter,RandomBaseline03,Four harmonious animals,People_50,0.64,0.54,0.54,0.62,0.5,0.54,0.38,0.38,0.58,0.6,0.32,0.44,0.46,0.62,0.42,0.52,0.58,0.5,0.4,0.54,0.44,0.56,0.5,0.44,0.44,0.4,0.5
bloomfilter,RandomBaseline03,Gaitelgrima,People_50,0.24,0.1,0.22,0.18,0.08,0.18,0.3,0.06,0.2,0.26,0.24,0.14,0.06,0.2,0.16,0.2,0.18,0.12,0.18,0.12,0.06,0.18,0.14,0.12,0.16,0.14,0.06
bloomfilter,RandomBaseline03,Geert Adriaans Boomgaard,People_50,0.42,0.32,0.28,0.44,0.36,0.38,0.18,0.22,0.34,0.42,0.34,0.26,0.26,0.34,0.3,0.3,0.4,0.32,0.38,0.36,0.26,0.38,0.42,0.2,0.28,0.42,0.3
bloomfilter,RandomBaseline03,Giedroyć,People_50,0.48,0.34,0.3,0.34,0.36,0.46,0.28,0.32,0.5,0.38,0.38,0.34,0.34,0.48,0.36,0.4,0.52,0.36,0.4,0.38,0.28,0.36,0.42,0.38,0.32,0.46,0.32
bloomfilter,RandomBaseline03,Heraldic flag,People_50,0.5,0.34,0.42,0.38,0.42,0.44,0.24,0.3,0.5,0.34,0.4,0.26,0.28,0.42,0.34,0.42,0.46,0.42,0.38,0.38,0.24,0.4,0.38,0.3,0.32,0.44,0.34
bloomfilter,RandomBaseline03,Hero,People_50,0.72,0.62,0.72,0.64,0.56,0.7,0.4,0.54,0.7,0.62,0.56,0.6,0.54,0.72,0.64,0.64,0.68,0.6,0.62,0.56,0.54,0.68,0.6,0.44,0.52,0.62,0.36
bloomfilter,RandomBaseline03,Imperial Standards of Iran,People_50,0.16,0.14,0.1,0.08,0.1,0.16,0.12,0.12,0.1,0.08,0.1,0.06,0.1,0.08,0.12,0.14,0.18,0.14,0.1,0.1,0.08,0.08,0.12,0.08,0.1,0.2,0.12
bloomfilter,RandomBaseline03,Lambeth slavery case,People_50,0.58,0.4,0.56,0.6,0.52,0.6,0.4,0.48,0.64,0.58,0.52,0.44,0.44,0.62,0.48,0.5,0.7,0.54,0.58,0.54,0.4,0.62,0.64,0.42,0.4,0.74,0.44
bloomfilter,RandomBaseline03,List of people and organisations named in the Paradise Papers,People_50,0.24,0.18,0.16,0.2,0.2,0.2,0.06,0.18,0.24,0.14,0.18,0.16,0.2,0.18,0.2,0.24,0.24,0.2,0.26,0.16,0.14,0.2,0.24,0.14,0.16,0.24,0.16
bloomfilter,RandomBaseline03,List of people saved by Oskar Schindler,People_50,0.46,0.4,0.36,0.52,0.42,0.42,0.24,0.34,0.5,0.34,0.34,0.38,0.38,0.42,0.4,0.44,0.46,0.36,0.44,0.4,0.28,0.46,0.44,0.28,0.36,0.44,0.28
bloomfilter,RandomBaseline03,List of people who have been pied,People_50,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bloomfilter,RandomBaseline03,List of personal coats of arms of Vice Presidents of the United States,People_50,0.1,0.12,0.08,0.06,0.1,0.06,0.02,0.1,0.08,0.06,0.1,0.06,0.08,0.08,0.08,0.1,0.1,0.08,0.1,0.1,0.06,0.06,0.1,0.08,0.06,0.12,0.08
bloomfilter,RandomBaseline03,List of personal standards of the Kings of Portugal,People_50,0.06,0.04,0.02,0.06,0.04,0.02,0.04,0.04,0.02,0.0,0.04,0.02,0.04,0.06,0.04,0.06,0.06,0.04,0.04,0.04,0.04,0.06,0.06,0.02,0.04,0.06,0.04
